Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26
Aai Kuthe Kay Karte,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0
Aai Mayeche Kavach,20.0,,21.0,22.0,20.0,23.0,19.0,21.0,,,,,,22.0,21.0,20.0,,26.0,23.0,26.0,24.0,26.0,23.0,,21.0,24.0
Abhalachi Maya,,,,,,,,,,,,,,,,,,,,,,39.0,,,,
Abhalachi Maya - I,,,,,,,,,,,,,,,,,,,,,31.0,,,,,
Aboli,13.0,12.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,12.0,10.0,10.0,11.0,11.0,11.0,11.0
Ajunahi Barsaat Ahe,,,20.0,,,,,24.0,,23.0,,,,,,,,,,,,,,,,
Ardhavatrao Not Out,,,,,,,,,,,,,,,,,,,,,,24.0,,,,
Balumamachya Navana Changbhala,25.0,,22.0,23.0,24.0,25.0,,,,,,,,23.0,23.0,22.0,,27.0,24.0,27.0,25.0,26.0,25.0,,21.0,24.0
Balumamachya Navana Changbhala - II,,,,,,,24.0,26.0,,,,,,,,,,,,,,,,,,
Band Baaja Varat - Celibritincha Lagna Jorat,,,,,,,,,,,,,,,,,,,,,,,,,24.0,
Band Baja Varat - Zee Marathicha Aher Tumchya Gharat,,,,,,,,,,,22.0,,,25.0,19.0,19.0,,23.0,22.0,24.0,23.0,24.0,,,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,21.0,20.0,19.0,,22.0,20.0,22.0,19.0,21.0,21.0,21.0,17.0,20.0
Bola Jai Bhim,,,,,,,,,,,,,,,24.0,,,,,,,,,,,
Boss Majhi Ladachi,,,,,,,,,19.0,22.0,,,22.0,25.0,,,,28.0,25.0,26.0,,23.0,23.0,,23.0,
Chala Hawa Yeu Dya,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0,11.0,12.0,13.0,14.0,13.0,14.0,12.0,13.0,14.0,13.0,15.0,12.0
Colors Marathi Awards 2021-22,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
Criminals Chahul Gunhegaranchi,,,26.0,,,,,,,,,,,,,,,,,,,,,,,
Devmanus S2,10.0,10.0,13.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,14.0,12.0,14.0,15.0,12.0,13.0,14.0,14.0,13.0,14.0,13.0,14.0,15.0,14.0,17.0,19.0
Dnyaneshwar Mauli,,,,,,,,,,,,,,,,,,,,,,37.0,,,,
Filmfare Awards Marathi 2021,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
Garjato Marathi,,,,,,,,,21.0,,,,,,,,,,,,,,,,,
Gatha Navanathanchi,,,,,,,,,,,,,,,,,,,,,,38.0,,,,
Geeta,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
Ghetala Vasa Taku Nako,26.0,20.0,24.0,24.0,26.0,27.0,24.0,25.0,25.0,,25.0,,,26.0,,,,,,,,,,,,
He Tar Kahich Nay,23.0,19.0,22.0,22.0,24.0,25.0,22.0,24.0,24.0,,,,,,,,,,,,,,,,,
Home Minister,25.0,19.0,21.0,22.0,23.0,24.0,22.0,23.0,23.0,,23.0,,,26.0,,,,,,,,,,,,
Indian Idol Marathi S1,,,21.0,,,26.0,,25.0,,,,,,,,,,,,,,,,,,
Jai Hanuman,,,,,,,,,,,,,,,,,,,,,34.0,40.0,,,,
Jai Jai Swami Samarth,22.0,,23.0,22.0,21.0,22.0,20.0,22.0,,,,,,20.0,17.0,18.0,,20.0,20.0,22.0,19.0,20.0,22.0,,16.0,18.0
Jau Nako Dur Baba,,,,,,,,,,,,,,,,,,,,,30.0,36.0,,,,
Jeev Majha Guntala,18.0,,17.0,18.0,16.0,16.0,14.0,17.0,16.0,16.0,16.0,,16.0,17.0,14.0,16.0,16.0,16.0,15.0,18.0,16.0,16.0,16.0,15.0,14.0,17.0
Kanyadaan,,,,,,,,,,,,,,,,,,,,,29.0,35.0,,,,
Kkusum,,,20.0,,,,,23.0,,,,,,,,,,,,,,,,,,
Kon Honar Karodpati,,,,,,,,,,,,,,,,,,,,,,,23.0,,,
Lagnachi Bedi,,,,,22.0,21.0,19.0,19.0,20.0,20.0,17.0,,16.0,13.0,11.0,11.0,15.0,13.0,13.0,13.0,11.0,12.0,13.0,12.0,13.0,13.0
Lajjat Maharashtrachi,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
Lek Majhi Durga,,,,,,,,,,,,,,26.0,24.0,23.0,,29.0,26.0,30.0,27.0,31.0,25.0,,25.0,26.0
Lek Majhi Durga - I,,,,,,,21.0,23.0,,,,,,,,,,,,,,,,,,
Mahaminister,,,,,,,,,,,,,,,22.0,21.0,,24.0,21.0,23.0,21.0,23.0,24.0,23.0,23.0,
Mahaminister - Grand Finale,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
Maharashtracha Favorite Kon Suvarnadashak Sohala,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
Maharashtrachi Hasyajatra,,,19.0,,,,,,,21.0,,,20.0,25.0,,,,,22.0,24.0,,24.0,,,,
Majhi Manasa,,,,,,,,,,,,,,,,,,,,,,33.0,,,,
Majhi Tujhi Reshimgath,7.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0
Man Jhala Bajind,15.0,14.0,16.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,18.0,,18.0,19.0,18.0,18.0,,20.0,19.0,22.0,20.0,22.0,21.0,19.0,,
Man Udu Udu Jhala,12.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,9.0,9.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0
Masaledar Kitchen Kallakar,,,,,,,,,,,13.0,13.0,14.0,16.0,13.0,14.0,12.0,15.0,14.0,16.0,14.0,16.0,17.0,17.0,19.0,
Masta Majedar Kitchen Kallakar,14.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,,,,,,,,,,,,,,,,
Mata Sanman 2022,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
Me Honar Superstar - Chote Ustad - Grand Finale,,,,,,,,,,,,,,,,,,,10.0,,,,,,,
Me Honar Superstar Aawaj Konacha Maharashtracha,,,,,,,,,,,,,,,,,,,,15.0,16.0,17.0,19.0,18.0,20.0,
Me Honar Superstar Chote Ustad,21.0,17.0,19.0,20.0,21.0,21.0,18.0,19.0,20.0,19.0,18.0,15.0,,9.0,9.0,8.0,,13.0,,,,,,,,
Mulgi Zali Ho,,,,,,,,,,,,,,,,,,27.0,24.0,28.0,26.0,27.0,24.0,24.0,26.0,27.0
Mulgi Zali Ho - I,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,8.0,8.0,7.0,5.0,,,,,,,,,
Muramba,,,,,,,19.0,20.0,21.0,21.0,21.0,,21.0,18.0,15.0,16.0,,20.0,18.0,20.0,18.0,19.0,22.0,,22.0,25.0
Nandini,,,,,,,,,,,,,,,,,,,,,,32.0,,,,
Nandini - I,,,,,,,,,,,,,,,,,,,,,33.0,,,,,
Nave Lakshya,24.0,19.0,23.0,22.0,23.0,24.0,20.0,23.0,22.0,,,,,14.0,13.0,11.0,,18.0,16.0,21.0,18.0,20.0,22.0,,23.0,
Padmavati,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
Pandu,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
Pawankhind,,,,,,,,,,,,,,,,,,,,,,,,,10.0,
Phulala Sugandh Maticha,6.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0
Pinkycha Vijay Aso,,,,,19.0,20.0,18.0,21.0,18.0,,20.0,,18.0,18.0,15.0,15.0,17.0,17.0,15.0,17.0,15.0,15.0,18.0,16.0,18.0,21.0
Pravah Utsav,,,,13.0,,,,,,,,,,,,,,,,,,,,,,
Raja Ranichi Ga Jodi,,,,,,,,,,,,,,,,,,,,,,26.0,24.0,,21.0,24.0
Raja Ranichi Ga Jodi - I,22.0,,20.0,22.0,20.0,21.0,20.0,22.0,,,,,21.0,21.0,21.0,20.0,,25.0,23.0,25.0,22.0,,,,,
Rang Majha Vegla,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Ratris Khel Chale S3,24.0,20.0,24.0,24.0,26.0,26.0,23.0,25.0,24.0,,24.0,,,24.0,,,,,,,,,,,,
Sahakutumba Sahaparivar,11.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,5.0,8.0,8.0,8.0,10.0,8.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0
Sakal Sanman 2022,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
Sant Gajanana Shegaviche,,,,,,,,,,,,,,,,,,,,,28.0,30.0,,,,
Satyavan Savitri,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,
Sonyachi Pavala,27.0,,25.0,25.0,26.0,26.0,24.0,27.0,,,,,,,,,,,,,,,,,,
Star Pravah Dhoomdhadaka 2022,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,
Star Pravah Parivar Puraskar 2022,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Sukh Mhanje Nakki Kay Asta,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0
Sundar Amcha Ghar,,,,,,,,,,,,,22.0,27.0,,,,,26.0,29.0,,28.0,,,,
Sundara Manamadhye Bharali,19.0,,18.0,19.0,19.0,19.0,17.0,18.0,19.0,17.0,,,17.0,18.0,16.0,16.0,17.0,19.0,17.0,19.0,17.0,18.0,20.0,21.0,13.0,22.0
Sundari,,,,,,,,,,,,,,,,,,,,,,29.0,,,25.0,
Sundari - I,,,,,,,,,,,,,,,,,,,,,32.0,,,,,
Swabhimaan,9.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0
Swarajya Saudamini Tararani,,,22.0,,,,,25.0,,,,,,,,,,,,,,37.0,,,,
Thipkyanchi Rangoli,8.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0
Tu Tevha Tashi,,,,,,,,,,,,8.0,9.0,12.0,10.0,10.0,11.0,12.0,12.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0
Tujhech Mi Geet Gaat Ahe,,,,,,,,,,,,,,,,,,6.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,5.0
Tujhya Ishkacha Naadkhula,,,,,25.0,26.0,24.0,26.0,25.0,,,,,,,,,,,,,,,,,
Tujhya Ishkacha Naadkhula - I,23.0,18.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
Tujhya Majhya Sansarala Ani Kai Hava,16.0,16.0,17.0,17.0,18.0,18.0,17.0,19.0,20.0,18.0,19.0,,19.0,19.0,17.0,17.0,18.0,21.0,20.0,22.0,20.0,22.0,20.0,20.0,21.0,23.0
Tujhya Rupacha Chandana,,,,,,,,,,,,,,26.0,25.0,24.0,,29.0,26.0,30.0,27.0,,,,,
Tujhya Rupacha Chandana - I,23.0,,22.0,23.0,25.0,24.0,21.0,24.0,,,,,,,,,,,,,,,,,,
Tumchi Mulgi Kay Karte,,,25.0,,,,,27.0,,,,,23.0,,,,,,26.0,30.0,,34.0,,,,
Yeu Kashi Tashi Me Nandayla,10.0,8.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,13.0,12.0,12.0,,,,,,,,,,,,,,
Yogyogeshwar Jai Shankar,,,,,,,,,,,,,,,,,,,,,,25.0,23.0,,20.0,22.0
Zee Maha Gaurav 2022,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
Zee Marathi Jallosh 2022,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zombivali,,,,,,,,,,,,,,,,,,,,,,,,22.0,,
